Model,Fold,Accuracy,AUC,Error Rate,F1 Score,Precision,Recall,RMSE
Random Forest,1,0.9626865671641791,0.9957647462277093,0.03731343283582089,0.9625088472591246,0.9631640211640212,0.9623931623931623,0.19316685232156394
Random Forest,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Random Forest,3,0.9925373134328358,1.0,0.007462686567164201,0.9925900514579759,0.9928571428571429,0.9925925925925926,0.08638684255813601
Random Forest,4,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Random Forest,5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Extra Trees,1,0.9626865671641791,0.9962567268122824,0.03731343283582089,0.962757551656436,0.9648571428571427,0.9626780626780626,0.19316685232156394
Extra Trees,2,0.9701492537313433,0.999519890260631,0.02985074626865669,0.9703548303548303,0.9711640211640212,0.9703703703703702,0.17277368511627203
Extra Trees,3,0.9776119402985075,0.9991452991452991,0.02238805970149249,0.9773262032085561,0.9777142857142858,0.9772079772079773,0.14962640041614494
Extra Trees,4,0.9850746268656716,1.0,0.014925373134328401,0.9848571428571429,0.9862068965517242,0.9846153846153847,0.12216944435630522
Extra Trees,5,0.9776119402985075,0.9997256515775035,0.02238805970149249,0.9777089783281735,0.9800000000000001,0.9777777777777779,0.14962640041614494
Bagging (DT),1,0.9776119402985075,0.985579561042524,0.02238805970149249,0.977490336358261,0.9777574277574278,0.9774928774928775,0.14962640041614494
Bagging (DT),2,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Bagging (DT),3,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Bagging (DT),4,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Bagging (DT),5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Gradient Boosting,1,0.9776119402985075,0.9865410995040624,0.02238805970149249,0.977490336358261,0.9777574277574278,0.9774928774928775,0.14962640041614494
Gradient Boosting,2,0.9925373134328358,1.0,0.007462686567164201,0.9925900514579761,0.9928571428571429,0.9925925925925926,0.08638684255813601
Gradient Boosting,3,0.9925373134328358,1.0,0.007462686567164201,0.9925900514579759,0.9928571428571429,0.9925925925925926,0.08638684255813601
Gradient Boosting,4,0.9925373134328358,1.0,0.007462686567164201,0.9925900514579759,0.9928571428571429,0.9925925925925926,0.08638684255813601
Gradient Boosting,5,0.9925373134328358,0.9998575498575498,0.007462686567164201,0.9924420677361854,0.9928571428571429,0.9923076923076923,0.08638684255813601
XGBoost,1,0.9701492537313433,0.9954653371320037,0.02985074626865669,0.97006993006993,0.970879120879121,0.9700854700854702,0.17277368511627203
XGBoost,2,1.0,1.0,0.0,1.0,1.0,1.0,0.0
XGBoost,3,0.9925373134328358,0.9989316239316238,0.007462686567164201,0.9924420677361855,0.9928571428571429,0.9923076923076923,0.08638684255813601
XGBoost,4,1.0,1.0,0.0,1.0,1.0,1.0,0.0
XGBoost,5,0.9850746268656716,0.9949931412894376,0.014925373134328401,0.9851648351648352,0.9862068965517242,0.9851851851851852,0.12216944435630522
LightGBM,1,0.9776119402985075,0.9979450247968767,0.02238805970149249,0.977490336358261,0.9777574277574278,0.9774928774928775,0.14962640041614494
LightGBM,2,0.9925373134328358,1.0,0.007462686567164201,0.9925900514579761,0.9928571428571429,0.9925925925925926,0.08638684255813601
LightGBM,3,1.0,1.0,0.0,1.0,1.0,1.0,0.0
LightGBM,4,1.0,1.0,0.0,1.0,1.0,1.0,0.0
LightGBM,5,1.0,1.0,0.0,1.0,1.0,1.0,0.0
